,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
12,12,-0.34174170744581595,2020-07-08 15:14:13.097608,2020-07-08 15:22:16.310591,0 days 00:08:03.212983000,0.24718593841203973,0.41239683760435214,0.8782990946094014,0.7237109621804174,0.4502293395358723,COMPLETE
13,13,-0.34220767211783476,2020-07-08 15:22:16.313160,2020-07-08 15:30:14.170446,0 days 00:07:57.857286000,0.25286917247084806,0.46715921633199897,0.837095640906723,0.7265413762039051,0.3012862889706577,COMPLETE
14,14,-0.3410540498210897,2020-07-08 15:30:14.172810,2020-07-08 15:39:43.535509,0 days 00:09:29.362699000,0.33670244980912384,0.377120299554231,0.7164713426326992,0.7736570859760563,0.25123426162903706,COMPLETE
15,15,-0.3401354553149141,2020-07-08 15:39:43.538998,2020-07-08 15:47:41.509921,0 days 00:07:57.970923000,0.317282408863374,0.495571031982027,0.4442188314431064,0.02299359619562781,0.9064971738928829,COMPLETE
16,16,-0.3417751745091032,2020-07-08 15:47:41.513114,2020-07-08 15:55:43.581773,0 days 00:08:02.068659000,0.20854558158881953,0.25491286770964267,0.8612146717592785,0.5317476583872639,0.5793289673149017,COMPLETE
17,17,-0.3401609454627703,2020-07-08 15:55:43.584516,2020-07-08 16:07:32.898721,0 days 00:11:49.314205000,0.4271724872790905,0.34626400867066753,0.6581852578140867,0.8015090350573818,0.35064592842089626,COMPLETE
18,18,-0.34277470652978725,2020-07-08 16:07:32.902106,2020-07-08 16:16:00.548076,0 days 00:08:27.645970000,0.29033478898758425,0.20226630807248808,0.5293608508135552,0.15070759335387618,0.5400247091642147,COMPLETE
19,19,-0.3429761911842724,2020-07-08 16:16:00.551559,2020-07-08 16:25:51.619588,0 days 00:09:51.068029000,0.38763893227517143,0.20728622989051124,0.5243447920032724,0.12278903137848672,0.833382655051662,COMPLETE
20,20,-0.33338762850568826,2020-07-08 16:25:51.622978,2020-07-08 16:38:54.959152,0 days 00:13:03.336174000,0.3934854635815819,0.04871663374237839,0.3259112618237492,0.16768720161675582,0.8543944347987111,COMPLETE
21,21,-0.3436869749320693,2020-07-08 16:38:54.962502,2020-07-08 16:47:15.737569,0 days 00:08:20.775067000,0.293903636951694,0.19695014022550542,0.5608348430744048,0.11612529271307254,0.5752238074499213,COMPLETE
22,22,-0.34304901842783775,2020-07-08 16:47:15.742090,2020-07-08 16:58:19.407373,0 days 00:11:03.665283000,0.47240099454211604,0.19538676601860333,0.4229963444365532,0.07606360670545359,0.8466563066337138,COMPLETE
23,23,-0.34240843612245203,2020-07-08 16:58:19.410216,2020-07-08 17:08:43.310419,0 days 00:10:23.900203000,0.47159535177608514,0.30406499994224395,0.43129642910524246,0.053680675312853685,0.6031578181079171,COMPLETE
24,24,-0.3412992355952649,2020-07-08 17:08:43.313187,2020-07-08 17:16:16.678210,0 days 00:07:33.365023000,0.17303837487404472,0.19374026799863076,0.3670398156919913,0.27288611202217355,0.8920093152026258,COMPLETE
25,25,-0.34570817667239406,2020-07-08 17:16:16.681187,2020-07-08 17:25:22.390527,0 days 00:09:05.709340000,0.29717624173478435,0.05876368235279354,0.6071380974224739,0.0744930402372126,0.9984407575622174,COMPLETE
26,26,-0.3401956033912176,2020-07-08 17:25:22.394207,2020-07-08 17:35:14.825889,0 days 00:09:52.431682000,0.3194751203031868,0.06754732322945314,0.6149629957826405,0.23317156608678077,0.4907546163726896,COMPLETE
27,27,-0.3380792291536892,2020-07-08 17:35:14.829733,2020-07-08 17:45:00.833669,0 days 00:09:46.003936000,0.2904326322949804,0.06864452503502393,0.7034329226213689,0.37413405755774537,0.9825110532138928,COMPLETE
28,28,-0.32207635203987917,2020-07-08 17:45:00.836482,2020-07-08 17:52:47.205333,0 days 00:07:46.368851000,0.19691020966095127,0.0030151802326411903,0.7662642608856028,0.22348826905108318,0.6199231685928899,COMPLETE
29,29,-0.3393116507941756,2020-07-08 17:52:47.210000,2020-07-08 18:03:49.918543,0 days 00:11:02.708543000,0.3536531733384838,0.1568355305025234,0.5740855728621925,0.3432041503324452,0.7444540351958233,COMPLETE
