,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_beta_re,params_gamma1,params_gamma2,params_gamma3,state
10,10,-0.3843520962626533,2020-07-21 16:40:38.454741,2020-07-21 16:55:21.250085,0 days 00:14:42.795344000,0.18817668694664286,0.024553402973004762,0.8813693475087039,0.07385169775900952,0.07616568239610719,0.9685978150497906,COMPLETE
11,11,-0.3913454206661847,2020-07-21 16:55:21.250836,2020-07-21 17:21:45.183207,0 days 00:26:23.932371000,0.49835235809161327,0.4775289302138558,0.9832090870784876,0.6121911050997596,0.22226606033790663,0.00315638694655747,COMPLETE
12,12,-0.38869168671712206,2020-07-21 17:21:45.183877,2020-07-21 17:36:27.394747,0 days 00:14:42.210870000,0.20755867418809465,0.4894800385697191,0.9951964259016124,0.5900084270855821,0.2920353883790782,0.009533589543541665,COMPLETE
13,13,-0.3895741206438071,2020-07-21 17:36:27.395397,2020-07-21 17:57:10.398068,0 days 00:20:43.002671000,0.4056997061046635,0.4851696051707472,0.9740899794990089,0.5407139203083288,0.016437052941019714,0.003183032989931348,COMPLETE
14,14,-0.39027045022415785,2020-07-21 17:57:10.398735,2020-07-21 18:20:52.362805,0 days 00:23:41.964070000,0.49410743705497995,0.3826823044951927,0.9868144824341148,0.4621198749807212,0.003927208878701793,0.27602995057606583,COMPLETE
15,15,-0.3874481496588809,2020-07-21 18:20:52.363473,2020-07-21 18:40:26.201784,0 days 00:19:33.838311000,0.4923474272824934,0.3619752833171216,0.6752327043624977,0.39754018611923503,0.018604198954486895,0.31456539707285713,COMPLETE
16,16,-0.38926154291389886,2020-07-21 18:40:26.202791,2020-07-21 19:04:06.230672,0 days 00:23:40.027881000,0.3859197190215683,0.41232228731225257,0.9915195478814848,0.8387585766753036,0.7101645349107977,0.29498156406620935,COMPLETE
17,17,-0.3612941216078063,2020-07-21 19:04:06.231374,2020-07-21 19:22:52.297752,0 days 00:18:46.066378000,0.4970842187013019,0.31982441465065503,0.19533235473069155,0.2744092622712234,0.12919624373710117,0.46872685850681056,COMPLETE
18,18,-0.38738295344657836,2020-07-21 19:22:52.298883,2020-07-21 19:45:32.227262,0 days 00:22:39.928379000,0.49962058011616634,0.4325589696476965,0.6483312869659719,0.4541143507202842,0.000685564044608955,0.17920762041079447,COMPLETE
19,19,-0.38858989450589987,2020-07-21 19:45:32.227933,2020-07-21 20:06:02.475145,0 days 00:20:30.247212000,0.4087908553326062,0.30124526076899594,0.906113347923221,0.8499345173395112,0.1871025216736863,0.9888775872193809,COMPLETE
20,20,-0.388176583255209,2020-07-21 20:06:02.475872,2020-07-21 20:24:38.843449,0 days 00:18:36.367577000,0.3733000663227934,0.3990425894823486,0.7968213438211333,0.32482121508457446,0.5908166911312343,0.4037132102442286,COMPLETE
21,21,-0.3902372587837541,2020-07-21 20:24:38.844110,2020-07-21 20:47:54.266802,0 days 00:23:15.422692000,0.4456886457552816,0.49921208327062094,0.987838062179062,0.5624196840844453,0.025766507113939987,0.05273185469240053,COMPLETE
22,22,-0.390780433399285,2020-07-21 20:47:54.267468,2020-07-21 21:11:25.704300,0 days 00:23:31.436832000,0.451274124803957,0.49899413620770794,0.9708982070006642,0.5607947415086919,0.09379818927160515,0.0771016566040984,COMPLETE
23,23,-0.3899675900009659,2020-07-21 21:11:25.704981,2020-07-21 21:41:27.152699,0 days 00:30:01.447718000,0.4961801878329467,0.4442790573079705,0.9042491814813963,0.6064985336535194,0.10053839859440061,0.2388397183525193,COMPLETE
24,24,-0.38869158323315206,2020-07-21 21:41:27.153508,2020-07-21 22:05:07.382082,0 days 00:23:40.228574000,0.4546572221265419,0.49865760280130444,0.7697756023169793,0.48850541318500307,0.37382645478524146,0.10606358526493181,COMPLETE
