,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
20,20,-0.35828582809989146,2020-07-21 15:55:56.804500,2020-07-21 16:01:07.252548,0 days 00:05:10.448048000,0.01676118261037396,0.49238838734733753,0.20546148280261517,0.40771872034202744,0.09747271651166312,COMPLETE
21,21,-0.3903745439426541,2020-07-21 16:01:07.253162,2020-07-21 16:15:03.573850,0 days 00:13:56.320688000,0.4803380397983345,0.4883501627684694,0.00284484187056577,0.47562510706317346,0.5502113358033653,COMPLETE
22,22,-0.3894979396721212,2020-07-21 16:15:03.574506,2020-07-21 16:28:19.049844,0 days 00:13:15.475338000,0.43997434274879166,0.4441950995421513,0.0798928127064463,0.6004976462767627,0.9935205768141722,COMPLETE
23,23,-0.3894115054215429,2020-07-21 16:28:19.050474,2020-07-21 16:45:24.366245,0 days 00:17:05.315771000,0.49967937303009863,0.4964161191207557,0.0777601571926675,0.3938568328894907,0.6382228978061153,COMPLETE
24,24,-0.386836762445428,2020-07-21 16:45:24.366906,2020-07-21 16:59:18.185295,0 days 00:13:53.818389000,0.4586514436668033,0.40847131001461356,0.9614829282316418,0.23631946652661898,0.29204693256998865,COMPLETE
25,25,-0.38860049047578865,2020-07-21 16:59:18.185961,2020-07-21 17:11:41.177577,0 days 00:12:22.991616000,0.4210405444383651,0.4995851153912562,0.22826468234039698,0.6246222325350831,0.41644517867205344,COMPLETE
26,26,-0.388281627350359,2020-07-21 17:11:41.178291,2020-07-21 17:23:40.195956,0 days 00:11:59.017665000,0.3623002446405143,0.35034373736606694,0.01781372250022001,0.3946937629292881,0.47320192426367175,COMPLETE
27,27,-0.3888587461607133,2020-07-21 17:23:40.196604,2020-07-21 17:38:14.916030,0 days 00:14:34.719426000,0.4972612058663654,0.4603841262004113,0.1395971395675547,0.46050307616371655,0.7105894911081041,COMPLETE
28,28,-0.3864130754924538,2020-07-21 17:38:14.916642,2020-07-21 17:51:11.164686,0 days 00:12:56.248044000,0.46783772252587685,0.3363162558926478,0.39121869883834126,0.2799982716899331,0.8401602699173549,COMPLETE
29,29,-0.3847366350358797,2020-07-21 17:51:11.165263,2020-07-21 18:02:29.212065,0 days 00:11:18.046802000,0.40031636367411116,0.25168730449913057,0.2786602927121784,0.5561019219206378,0.5468728036424206,COMPLETE
