,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
10,10,-0.3407888391126585,2020-07-17 14:56:01.212684,2020-07-17 15:07:02.692923,0 days 00:11:01.480239000,0.4992058459253008,0.19467726280004707,0.3328031670158327,0.013255069546989684,0.987900406879073,COMPLETE
11,11,-0.34361114219295946,2020-07-17 15:07:02.693488,2020-07-17 15:18:13.737573,0 days 00:11:11.044085000,0.4984678000248249,0.18499241766620306,0.3361229114506654,0.0033555000447257205,0.9961297084515478,COMPLETE
12,12,-0.33077705911248856,2020-07-17 15:18:13.738103,2020-07-17 15:27:46.366307,0 days 00:09:32.628204000,0.3819943954364047,0.1741766786218402,0.3526357032219163,0.07578966022466851,0.9990621621225081,COMPLETE
13,13,-0.33360565164696315,2020-07-17 15:27:46.366915,2020-07-17 15:38:47.930273,0 days 00:11:01.563358000,0.4960101994205164,0.17791632805933105,0.3352611542397585,0.049741953990050096,0.046533564093339586,COMPLETE
14,14,-0.32419869582456645,2020-07-17 15:38:47.930838,2020-07-17 15:48:57.358170,0 days 00:10:09.427332000,0.4037455809873485,0.11098808176376346,0.3717242895386347,0.2132717664726643,0.9015293863381771,COMPLETE
15,15,-0.32222374436953705,2020-07-17 15:48:57.358723,2020-07-17 16:00:13.666372,0 days 00:11:16.307649000,0.4936798468607412,0.23663520928753207,0.013594603855150433,0.012324994875297188,0.901837534278962,COMPLETE
16,16,-0.32403257948197955,2020-07-17 16:00:13.666958,2020-07-17 16:09:44.346500,0 days 00:09:30.679542000,0.37894340256978176,0.2792163050770601,0.22653720073875117,0.1749237858921964,0.5427927088327308,COMPLETE
17,17,-0.32201944342994204,2020-07-17 16:09:44.347213,2020-07-17 16:24:33.597272,0 days 00:14:49.250059000,0.4994367562815889,0.00028414945518673296,0.4660058393353617,0.32636818832542486,0.8172235348475207,COMPLETE
18,18,-0.33145042155055676,2020-07-17 16:24:33.597846,2020-07-17 16:34:33.110555,0 days 00:09:59.512709000,0.43379620673116964,0.19536301278208873,0.498515019826996,0.09650232385181279,0.9859072713245025,COMPLETE
19,19,-0.3207422616892081,2020-07-17 16:34:33.111144,2020-07-17 16:44:11.845984,0 days 00:09:38.734840000,0.31342919446869416,0.10781951798641241,0.24871934361164244,0.3518948501506158,0.8272229229848564,COMPLETE
20,20,-0.3194450880410628,2020-07-17 16:44:11.846552,2020-07-17 16:51:43.552521,0 days 00:07:31.705969000,0.21208545199281842,0.3395809140760667,0.045286764397145074,0.13018696578874117,0.020250533157551764,COMPLETE
21,21,-0.3381660644310602,2020-07-17 16:51:43.553113,2020-07-17 17:02:46.669360,0 days 00:11:03.116247000,0.4900556498419244,0.1870763321848472,0.3491698398865001,0.022776272227353955,0.08920335768700038,COMPLETE
22,22,-0.34131762420026707,2020-07-17 17:02:46.669964,2020-07-17 17:13:45.205838,0 days 00:10:58.535874000,0.4899374788873991,0.19296326379035175,0.4210745416711317,0.014118153915229276,0.15235428618093894,COMPLETE
23,23,-0.3238523410664471,2020-07-17 17:13:45.206393,2020-07-17 17:23:18.535997,0 days 00:09:33.329604000,0.416835751927798,0.22644546243922456,0.4418506249547868,0.25840958679704545,0.1919180222589601,COMPLETE
24,24,-0.34177344646981483,2020-07-17 17:23:18.536474,2020-07-17 17:34:01.141843,0 days 00:10:42.605369000,0.4680005791389944,0.13790844055329451,0.5763033057144726,0.014144206142375661,0.4817406850326673,COMPLETE
25,25,-0.33083529446484156,2020-07-17 17:34:01.142393,2020-07-17 17:43:11.931727,0 days 00:09:10.789334000,0.35661604572818667,0.14061918424190817,0.5928261089869086,0.13419904813003264,0.45911123018277517,COMPLETE
26,26,-0.32570896397086413,2020-07-17 17:43:11.932260,2020-07-17 17:54:25.337641,0 days 00:11:13.405381000,0.4618979683929731,0.061012622471590214,0.6832059202156984,0.26515097202969395,0.4975801488865907,COMPLETE
27,27,-0.3406157830572495,2020-07-17 17:54:25.338103,2020-07-17 18:05:05.852032,0 days 00:10:40.513929000,0.42725088267398215,0.09122304262847584,0.5471790729167587,0.025337911527909908,0.1407086033588807,COMPLETE
28,28,-0.3291233026793204,2020-07-17 18:05:05.852585,2020-07-17 18:12:44.211088,0 days 00:07:38.358503000,0.2729697933688169,0.30070515746978915,0.4186713312718625,0.154426652752514,0.5737398173879862,COMPLETE
29,29,-0.31907310634434094,2020-07-17 18:12:44.211828,2020-07-17 18:25:20.218129,0 days 00:12:36.006301000,0.4760192457396685,0.14644106532682566,0.2502550583767028,0.45439818746293936,0.4242480528888203,COMPLETE
