,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
16,16,-0.1956154529149184,2020-08-21 20:18:59.537779,2020-08-21 20:30:54.238414,0 days 00:11:54.700635000,0.16348365664764744,0.406193969212468,0.24046812606139756,0.7135227010752677,0.1345654971997292,COMPLETE
17,17,-0.19412779377617642,2020-08-21 20:30:54.238862,2020-08-21 20:39:52.031460,0 days 00:08:57.792598000,0.05553620702524727,0.409021193883395,0.006195197262023777,0.4884507437898761,0.009753873320662243,COMPLETE
18,18,-0.19476404360398675,2020-08-21 20:39:52.031910,2020-08-21 20:53:52.921467,0 days 00:14:00.889557000,0.20073600246783913,0.2932901856999518,0.33535476865265285,0.9970303954658924,0.9988918416786703,COMPLETE
19,19,-0.18935255732129308,2020-08-21 20:53:52.921918,2020-08-21 21:04:43.146541,0 days 00:10:50.224623000,0.07144982291015153,0.26034875004025626,0.19106193267287774,0.7472164804372033,0.11658566389241418,COMPLETE
20,20,-0.19761961108412057,2020-08-21 21:04:43.147014,2020-08-21 21:18:16.432797,0 days 00:13:33.285783000,0.21485957064120115,0.43913914958339756,0.40741599030630243,0.5411345148935544,0.25157670320112796,COMPLETE
21,21,-0.21932976790093422,2020-08-21 21:18:16.433246,2020-08-21 21:29:36.001752,0 days 00:11:19.568506000,0.11685565599279699,0.4895455735215877,0.0031667351696379993,0.6056885473776811,0.21383383703426614,COMPLETE
22,22,-0.19547512203439085,2020-08-21 21:29:36.002226,2020-08-21 21:40:38.984211,0 days 00:11:02.981985000,0.08965664323812017,0.37597603231484705,0.07932614128681974,0.633577747920648,0.08316545777776517,COMPLETE
23,23,-0.20145557606253772,2020-08-21 21:40:38.984656,2020-08-21 21:54:03.703623,0 days 00:13:24.718967000,0.18623271747749648,0.4503708974934331,0.08721449814330282,0.4372646733264598,0.1665559398459548,COMPLETE
24,24,-0.18760292556987443,2020-08-21 21:54:03.704077,2020-08-21 22:02:16.157299,0 days 00:08:12.453222000,0.010759854166255078,0.37491856998588524,0.006315101297979749,0.6217387528403434,0.006283934655887901,COMPLETE
25,25,-0.19736373347196612,2020-08-21 22:02:16.157749,2020-08-21 22:13:31.663248,0 days 00:11:15.505499000,0.111304728472364,0.49705904564720776,0.1982968646072528,0.8206373560224208,0.29511297432288347,COMPLETE
