,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_beta,params_embedding_dim,params_kappa1,params_kappa2,params_kappa3,params_lambada_,params_lr,params_lr_decay_rate,params_mu,params_warmup,params_weight_decay,state
30,30,-0.17335848274873447,2020-08-18 12:30:19.945361,2020-08-18 13:43:44.201470,0 days 01:13:24.256109000,256,0.21225180787584708,48.0,0.14858699212765958,0.7203809430812561,0.2628376061653877,0.6368589057272289,0.0003845722850880616,0.6035609808148349,0.5325974330178015,56,1.1912549251335992e-05,COMPLETE
31,31,-0.21838084240008462,2020-08-18 13:43:44.202164,2020-08-18 14:52:34.511562,0 days 01:08:50.309398000,384,0.4991859327722306,16.0,0.06810383867364012,0.9625913281152261,0.9426651619056435,0.9210069563554848,0.001060981909913091,0.6286270779508932,0.7631373261580242,79,2.6546759175696317e-06,COMPLETE
32,32,-0.21911283798757963,2020-08-18 14:52:34.512288,2020-08-18 16:18:08.649846,0 days 01:25:34.137558000,384,0.4629137281080948,16.0,0.053819958375823006,0.9287465113014627,0.9213408030678525,0.9945959603921133,0.0013972871663711494,0.6892615973011912,0.9177145735312582,86,3.6163064232599118e-06,COMPLETE
33,33,-0.2164145004186126,2020-08-18 16:18:08.650536,2020-08-18 17:52:51.880680,0 days 01:34:43.230144000,384,0.40379296082956634,16.0,0.24338979800746938,0.8355140537473111,0.7857678344869812,0.9992001277290585,0.002902088506507865,0.7350872955626256,0.9163503096399456,95,1.933582074902975e-06,COMPLETE
34,34,-0.1978272047028445,2020-08-18 17:52:51.881357,2020-08-18 19:03:44.708537,0 days 01:10:52.827180000,384,0.46401622205673954,32.0,0.04536529589315371,0.8949321662178211,0.9111592591717818,0.8914288234422222,0.0008586978847461038,0.6894716109123809,0.9840156305373027,88,3.7736605648663576e-06,COMPLETE
35,35,-0.20017091859891956,2020-08-18 19:03:44.709327,2020-08-18 20:29:33.828997,0 days 01:25:49.119670000,384,0.31374767287456673,16.0,0.8741139044803812,0.41167772033424554,0.7126338430189668,0.7762076432172973,0.00996540641866328,0.7566423700743294,0.8302808164687356,86,0.0023966035510254516,COMPLETE
36,36,-0.17643868428101248,2020-08-18 20:29:33.829678,2020-08-18 21:20:31.874391,0 days 00:50:58.044713000,384,0.3617542374581221,32.0,0.13810316450182086,0.9948675853440252,0.30399006417893887,0.9592496979648805,0.00020111033119241863,0.653438686678998,0.004071012348408398,72,8.96664990855625e-06,COMPLETE
37,37,-0.20998057938823436,2020-08-18 21:20:31.875084,2020-08-18 22:32:58.731627,0 days 01:12:26.856543000,384,0.4170481777049506,16.0,0.22170255653136584,0.7763790067813163,0.8236432394173456,0.8794217262131951,0.001376957712145292,0.7125363645779945,0.8872251328499438,79,2.319580817820945e-05,COMPLETE
38,38,-0.21298494586912123,2020-08-18 22:32:58.732323,2020-08-18 23:33:06.660242,0 days 01:00:07.927919000,512,0.4616281504876589,32.0,0.12968246353937848,0.9178058280299253,0.8972529532010065,0.7978283973546071,0.0019256676968296403,0.8427752041105012,0.6985003430837695,96,4.035561820259927e-06,COMPLETE
39,39,-0.20012683517430718,2020-08-18 23:33:06.660979,2020-08-19 01:23:43.553349,0 days 01:50:36.892370000,384,0.15362268912125482,64.0,0.556288811818825,0.003654571606418744,0.9945683257445903,0.9980565271697145,0.006356481625832361,0.6826732259889845,0.936697147583605,90,1.4817451511957106e-05,COMPLETE
40,40,-0.19324988128574178,2020-08-19 01:23:43.554025,2020-08-19 02:19:28.445917,0 days 00:55:44.891892000,512,0.39724172869223756,48.0,0.18207767790230361,0.4885957048249541,0.3542312396369645,0.6881974521791795,0.0034889488007524404,0.7664911145558566,0.6235579575968495,18,1.6199345675515674e-06,COMPLETE
41,41,-0.21895842662530468,2020-08-19 02:19:28.446631,2020-08-19 03:29:52.394272,0 days 01:10:23.947641000,384,0.48861147305490277,16.0,0.06545551277962153,0.9514318436673529,0.9773800627445142,0.9572433976873714,0.0009066986122051589,0.6164623581219772,0.7620001314854158,85,2.452258289578052e-06,COMPLETE
42,42,-0.2158696909990317,2020-08-19 03:29:52.394990,2020-08-19 04:37:26.753566,0 days 01:07:34.358576000,384,0.4361526572569988,16.0,0.04843290031076431,0.846987398688412,0.9484450216583091,0.9289034429741923,0.0006924651465078916,0.6571768108809874,0.7662201928752346,84,3.037559525572659e-06,COMPLETE
43,43,-0.21271727923425215,2020-08-19 04:37:26.754259,2020-08-19 05:37:48.250164,0 days 01:00:21.495905000,384,0.4746694331552937,16.0,0.09199850189208685,0.9513168592129531,0.8946939273062813,0.9522046489893262,0.0009576740575240614,0.5965972650185855,0.46304253248744653,75,1.6934931367906937e-06,COMPLETE
44,44,-0.22205382722726608,2020-08-19 05:37:48.250844,2020-08-19 06:55:12.537784,0 days 01:17:24.286940000,384,0.4518360097053463,32.0,0.010734112548670542,0.8808059607125459,0.679890455269665,0.999440138288872,0.0008633686949882889,0.5385121884748127,0.8032289911888918,91,8.456210515390261e-06,COMPLETE
45,45,-0.2155885519399231,2020-08-19 06:55:12.538562,2020-08-19 08:05:38.065447,0 days 01:10:25.526885000,384,0.49725382365265935,32.0,0.04084728266454196,0.9987745537882696,0.7095709688394705,0.9019721376363288,0.00026936101780782127,0.5446447526052741,0.8689360726874522,91,7.668070659112579e-06,COMPLETE
46,46,-0.21410603177097048,2020-08-19 08:05:38.066166,2020-08-19 09:16:28.456094,0 days 01:10:50.389928000,384,0.45410280859004093,32.0,0.1628353647370517,0.8819042938143477,0.42298779235640066,0.8497024843226487,0.0005675562419330245,0.5035419124504625,0.8084675965469199,98,0.00010909085807644386,COMPLETE
47,47,-0.1984210860831015,2020-08-19 09:16:28.456869,2020-08-19 10:33:55.796258,0 days 01:17:27.339389000,384,0.37527944848563016,128.0,0.38861716684288217,0.8000416329605308,0.6452688925217208,0.9538000608152531,0.00081929133681101,0.5688480424682808,0.9435277885059095,100,1.923748458075707e-05,COMPLETE
48,48,-0.2177684921087717,2020-08-19 10:33:55.796992,2020-08-19 11:49:19.603467,0 days 01:15:23.806475000,384,0.47770711138132627,48.0,0.10277810397536935,0.6292915005527131,0.7877781603141524,0.9977668376674356,0.0014711784742057936,0.5305919119979641,0.7898633191301954,49,5.040747103020448e-06,COMPLETE
49,49,-0.1843348657641026,2020-08-19 11:49:19.604146,2020-08-19 12:57:30.426214,0 days 01:08:10.822068000,512,0.23520851964479597,32.0,0.0003067067348190011,0.8456836799952092,0.5311254413303018,0.9254883360311459,0.001966857082081941,0.6757305822948948,0.9903207309407883,87,1.0628166896257982e-06,COMPLETE
